5,100,20
12.3784661738085,88.4560412354526,13.9009611661008
27.2432493019608,90.1483544734273,14.9824848314904
39.60264315926,98.6478936099426,14.9622427429438
51.3169168983303,89.5222512892179,12.8576667942067
65.3848925444097,84.3457194374749,12.3185782690192
59.6522001738597,71.3216867616081,17.0542492100362
65.6882958834892,64.2659259309731,26.4879483252943
77.0548022197061,55.5748621927732,30.9876181069565
71.7015709651633,43.2212672820347,24.3962886224184
78.5198746923082,31.0170532993398,29.8298912072462
89.479379615085,32.5390006149153,19.7123622268115
100,34,10
85.1674046298932,31.9500916748024,9.12095287318266
73.792536827089,41.6056208111846,10.6645693025697
62.4176690242847,51.2611499475667,12.2081857319568
70.9961521564332,55.9067841449462,23.5984498701715
79.5639136440904,67.7327771716561,27.0232520541075
67.8944977988836,76.6560763236214,30.0438906075844
53.9872110983708,81.8179052696194,27.8229766778012
49.5253195307886,96.0006559594245,25.8386027452121
34.7118030656407,97.3312325710957,23.8961071312311
23.0730708365618,92.6778427592966,32.1264851047164
11.270469725004,97.4595703345185,24.2072959491759
5,100,20
18.0011189215792,92.5331767152474,20.466017452626
32.9871970143322,92.0702144945662,20.0153292281391
46.6470239941121,85.873567633499,20.1017083850451
61.5908340982749,87.0293536141322,19.5130339876324
76.4514782202945,88.1175494309084,17.7902504405393
84.9366123502524,79.9642863657092,27.0885981376203
99.3296757082234,82.448944546628,23.6746664155943
100,90,18
91.5035732407396,77.8232999436642,20.1202341351301
76.9735182308798,81.5483330224592,20.1000383382161
64.7562950160305,90.2399130500094,20.5252022327372
51.2356810244517,88.8168478144313,26.8540185633625
36.8058516134671,92.3070306070129,24.7149277906595
22.3760222024826,95.7972133995946,22.5758370179566
11.8962365839108,99.7730173835151,32.516118942013
5,100,20
